epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,2061.1,2.17909,0.34012,1.8666,0.90034,0.95466,0.95323,0.49437,2.16514,0.31092,1.87319,0.00145563,0.00145563,0.00145563
37,2118.55,2.15431,0.32688,1.85789,0.89257,0.95303,0.95303,0.50945,2.10177,0.29111,1.8384,0.0014275,0.0014275,0.0014275
38,2177.15,2.12446,0.31284,1.86027,0.8799,0.94625,0.95645,0.49926,2.1951,0.2864,1.87865,0.00139896,0.00139896,0.00139896
39,2235.27,2.13716,0.31605,1.83807,0.91434,0.96282,0.95948,0.49744,2.14699,0.2878,1.85363,0.00137002,0.00137002,0.00137002
40,2292.66,2.11568,0.3208,1.81778,0.91029,0.95499,0.9659,0.49372,2.12898,0.29924,1.83507,0.00134072,0.00134072,0.00134072
41,2349.63,2.15375,0.32088,1.85479,0.89557,0.96673,0.96265,0.51602,2.07147,0.28191,1.82907,0.00131109,0.00131109,0.00131109
42,2406.41,2.09594,0.30973,1.82613,0.90215,0.96282,0.96189,0.50701,2.10104,0.28069,1.8385,0.00128115,0.00128115,0.00128115
43,2463.92,2.09896,0.30374,1.85498,0.90692,0.95338,0.95832,0.52761,2.0769,0.27779,1.82568,0.00125094,0.00125094,0.00125094
44,2521.77,2.09461,0.30744,1.82412,0.91278,0.96257,0.95345,0.50575,2.11491,0.27734,1.84325,0.00122049,0.00122049,0.00122049
45,2579.2,2.12321,0.29986,1.81746,0.92217,0.97065,0.96829,0.51607,2.06535,0.28021,1.82056,0.00118982,0.00118982,0.00118982
46,2636.53,2.12212,0.2995,1.84415,0.91312,0.96086,0.95954,0.51121,2.12398,0.27961,1.85016,0.00115897,0.00115897,0.00115897
47,2693.39,2.11663,0.30786,1.84924,0.90368,0.96282,0.95666,0.52505,2.0657,0.27875,1.82271,0.00112796,0.00112796,0.00112796
48,2750.23,2.08018,0.30559,1.82297,0.90821,0.9726,0.96485,0.51883,2.06741,0.26914,1.81056,0.00109683,0.00109683,0.00109683
49,2807.66,2.08586,0.29983,1.84772,0.91689,0.95695,0.96474,0.51573,2.0821,0.27179,1.82079,0.0010656,0.0010656,0.0010656
50,2864.71,2.09461,0.29742,1.81951,0.92038,0.95013,0.96608,0.51996,2.07228,0.27362,1.82654,0.00103432,0.00103432,0.00103432
51,2921.85,2.09906,0.29778,1.82828,0.90888,0.95648,0.96143,0.50637,2.1402,0.27879,1.85304,0.001003,0.001003,0.001003
52,2978.73,2.06823,0.29325,1.82382,0.92232,0.95261,0.9691,0.52219,2.09542,0.27244,1.83234,0.000971683,0.000971683,0.000971683
53,3035.59,2.06731,0.29516,1.82137,0.92242,0.96282,0.97021,0.51949,2.08442,0.27074,1.82106,0.000940398,0.000940398,0.000940398
54,3092.3,2.1086,0.29146,1.8345,0.91922,0.95752,0.96543,0.5311,2.08933,0.26614,1.82849,0.000909174,0.000909174,0.000909174
55,3149.39,2.05765,0.28937,1.79139,0.90075,0.97683,0.96971,0.52927,2.07302,0.26885,1.82298,0.000878043,0.000878043,0.000878043
56,3207.08,2.04226,0.28562,1.79389,0.89982,0.97065,0.96935,0.53323,2.06127,0.26438,1.80791,0.000847035,0.000847035,0.000847035
57,3266.96,2.04349,0.28353,1.80486,0.92083,0.96282,0.96798,0.53221,2.06468,0.26439,1.81342,0.000816181,0.000816181,0.000816181
58,3325.12,2.05972,0.28842,1.81799,0.92454,0.96086,0.97358,0.51954,2.10526,0.27537,1.8295,0.000785511,0.000785511,0.000785511
59,3382.8,2.01847,0.27918,1.7962,0.92331,0.96605,0.97415,0.52359,2.08884,0.26618,1.82796,0.000755056,0.000755056,0.000755056
60,3439.55,2.03603,0.27938,1.81329,0.91361,0.97264,0.97743,0.51369,2.09875,0.26867,1.83061,0.000724846,0.000724846,0.000724846
61,3496.22,2.03812,0.28075,1.79259,0.92779,0.96869,0.96928,0.53572,2.07997,0.26344,1.82258,0.00069491,0.00069491,0.00069491
62,3554.72,2.02113,0.28341,1.80476,0.92801,0.96673,0.96374,0.5235,2.10064,0.26918,1.83486,0.000665278,0.000665278,0.000665278
63,3611.79,1.98212,0.27257,1.77305,0.92829,0.97652,0.9772,0.5302,2.07366,0.2629,1.81706,0.00063598,0.00063598,0.00063598
64,3669.22,2.03216,0.27527,1.79115,0.92854,0.94081,0.96977,0.53647,2.05629,0.26206,1.81585,0.000607044,0.000607044,0.000607044
65,3726.6,2.00144,0.272,1.78581,0.92435,0.97456,0.97604,0.5472,2.03859,0.25211,1.80765,0.000578498,0.000578498,0.000578498
66,3784.13,2.00748,0.27159,1.79938,0.92491,0.9589,0.96896,0.53473,2.03951,0.25993,1.80418,0.000550371,0.000550371,0.000550371
67,3841.98,2.01895,0.27095,1.79229,0.91639,0.96518,0.96611,0.53719,2.04591,0.25578,1.80128,0.000522692,0.000522692,0.000522692
68,3900.9,2.00889,0.27348,1.80134,0.92675,0.96562,0.97316,0.53516,2.08185,0.2615,1.81933,0.000495486,0.000495486,0.000495486
69,3957.81,2.02573,0.276,1.81822,0.93727,0.9649,0.97641,0.54096,2.0514,0.25494,1.80055,0.000468781,0.000468781,0.000468781
70,4015.95,2.02004,0.27289,1.79449,0.93236,0.96869,0.97577,0.53409,2.06245,0.25322,1.80838,0.000442603,0.000442603,0.000442603
71,4073.09,2.00447,0.27029,1.78607,0.93381,0.96632,0.97365,0.54056,2.05975,0.25501,1.80669,0.000416978,0.000416978,0.000416978
72,4130.11,1.98425,0.26857,1.7869,0.93522,0.97652,0.97415,0.53802,2.03954,0.25401,1.80043,0.000391932,0.000391932,0.000391932
73,4187.59,1.98792,0.26961,1.76605,0.9388,0.9726,0.97358,0.5487,2.04761,0.25293,1.80158,0.000367488,0.000367488,0.000367488
74,4245.3,1.9937,0.26544,1.79547,0.93194,0.96465,0.97302,0.53312,2.07587,0.25758,1.81462,0.000343672,0.000343672,0.000343672
75,4302.12,2.01603,0.27541,1.78791,0.91121,0.97065,0.97869,0.53866,2.04233,0.25523,1.79905,0.000320507,0.000320507,0.000320507
76,4359.23,2.01377,0.26427,1.78543,0.93667,0.95509,0.97255,0.5478,2.03794,0.24776,1.80265,0.000298015,0.000298015,0.000298015
77,4417.7,1.98697,0.26617,1.77648,0.9423,0.95882,0.97237,0.54639,2.04564,0.24759,1.80548,0.000276218,0.000276218,0.000276218
78,4476.94,1.95276,0.26469,1.78151,0.94402,0.95712,0.97466,0.54337,2.0315,0.25155,1.79402,0.000255139,0.000255139,0.000255139
79,4534.86,1.97067,0.2672,1.76889,0.94805,0.95303,0.97731,0.53565,2.06644,0.25574,1.8073,0.000234798,0.000234798,0.000234798
80,4593.17,1.98212,0.2654,1.77703,0.93861,0.95108,0.96729,0.54074,2.07088,0.25149,1.81263,0.000215215,0.000215215,0.000215215
81,4651.47,1.99402,0.26375,1.79939,0.9318,0.95108,0.9663,0.53678,2.0567,0.25131,1.80909,0.00019641,0.00019641,0.00019641
82,4709.26,1.93547,0.26048,1.74458,0.93063,0.95695,0.96872,0.54408,2.0494,0.24748,1.80607,0.000178401,0.000178401,0.000178401
83,4768.49,1.95161,0.25778,1.75418,0.9333,0.95834,0.97498,0.54606,2.04287,0.2491,1.80487,0.000161205,0.000161205,0.000161205
84,4826.33,1.97265,0.25717,1.78019,0.94075,0.96323,0.97505,0.54003,2.06431,0.24848,1.81392,0.00014484,0.00014484,0.00014484
85,4884.21,1.95848,0.25587,1.78203,0.94082,0.95303,0.97563,0.54188,2.04302,0.24734,1.80529,0.000129322,0.000129322,0.000129322
86,4942.85,1.96689,0.25525,1.76474,0.94087,0.96282,0.97711,0.54242,2.0524,0.24719,1.80683,0.000114666,0.000114666,0.000114666
87,5002.44,1.98315,0.25475,1.77477,0.94734,0.95053,0.97631,0.5476,2.03041,0.24353,1.79713,0.000100887,0.000100887,0.000100887
88,5061.07,1.96344,0.25602,1.78876,0.93837,0.95342,0.96927,0.54358,2.05338,0.245,1.8072,8.79986e-05,8.79986e-05,8.79986e-05
89,5118.78,1.96348,0.25744,1.76612,0.9455,0.96477,0.97628,0.54377,2.05055,0.24497,1.80576,7.60128e-05,7.60128e-05,7.60128e-05
90,5176,1.95737,0.25578,1.78581,0.93192,0.96477,0.97617,0.54714,2.03384,0.24423,1.79859,6.49419e-05,6.49419e-05,6.49419e-05
91,5256.74,1.94584,0.24155,1.81362,0.93474,0.95695,0.97278,0.5429,2.05509,0.24686,1.80588,5.47967e-05,5.47967e-05,5.47967e-05
92,5313.5,1.95582,0.24234,1.82136,0.93402,0.95695,0.97343,0.54447,2.05538,0.24703,1.80392,4.55872e-05,4.55872e-05,4.55872e-05
93,5370.24,1.95192,0.24138,1.81189,0.94611,0.95695,0.97599,0.54656,2.04534,0.24626,1.7998,3.73226e-05,3.73226e-05,3.73226e-05
94,5427.9,1.94622,0.24316,1.8036,0.94169,0.9589,0.97609,0.54847,2.04576,0.24569,1.79992,3.0011e-05,3.0011e-05,3.0011e-05
95,5486.35,1.9421,0.24034,1.81729,0.94777,0.95876,0.97786,0.54971,2.04675,0.24561,1.8,2.36596e-05,2.36596e-05,2.36596e-05
96,5545.91,1.94348,0.23734,1.81063,0.94648,0.96086,0.97776,0.54899,2.04573,0.24576,1.79952,1.82747e-05,1.82747e-05,1.82747e-05
97,5604.57,1.94689,0.24127,1.81294,0.95031,0.9589,0.9776,0.55153,2.04448,0.24507,1.79886,1.38616e-05,1.38616e-05,1.38616e-05
98,5663.22,1.95039,0.2407,1.80431,0.9534,0.96085,0.97797,0.54914,2.04414,0.24454,1.79937,1.04247e-05,1.04247e-05,1.04247e-05
99,5723,1.93444,0.23883,1.81461,0.94956,0.96086,0.97799,0.54949,2.04332,0.24486,1.79897,7.96735e-06,7.96735e-06,7.96735e-06
100,5780.26,1.93758,0.23926,1.80411,0.95059,0.96086,0.97812,0.55048,2.0436,0.24458,1.79881,6.49196e-06,6.49196e-06,6.49196e-06
