epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1561.1,2.17222,0.54578,1.48168,0.89257,0.96673,0.95253,0.46717,2.17575,0.45897,1.455,0.000763797,0.000763797,0.000763797
31,1608.41,2.17103,0.54332,1.48945,0.8895,0.96477,0.95136,0.47108,2.15852,0.4743,1.43895,0.000704073,0.000704073,0.000704073
32,1655.83,2.1421,0.5194,1.46307,0.87921,0.9726,0.93209,0.46319,2.17106,0.46005,1.43939,0.000645557,0.000645557,0.000645557
33,1706.57,2.17369,0.53234,1.48661,0.90226,0.97555,0.95171,0.47086,2.12715,0.46125,1.42342,0.000588479,0.000588479,0.000588479
34,1762.77,2.13761,0.52807,1.47082,0.90036,0.97255,0.95129,0.47376,2.18581,0.46557,1.44805,0.000533064,0.000533064,0.000533064
35,1817.93,2.14173,0.52598,1.46965,0.89208,0.95439,0.93301,0.49016,2.10888,0.44929,1.41634,0.000479531,0.000479531,0.000479531
36,1872.67,2.11944,0.51556,1.47288,0.88483,0.94716,0.93677,0.46797,2.20795,0.46392,1.45607,0.000428093,0.000428093,0.000428093
37,1926.04,2.10826,0.50707,1.45284,0.91148,0.96717,0.95263,0.49424,2.10478,0.44686,1.41905,0.00037895,0.00037895,0.00037895
38,1982.17,2.11085,0.49963,1.45279,0.90109,0.98043,0.95389,0.49813,2.08549,0.44208,1.41694,0.000332298,0.000332298,0.000332298
39,2039,2.08175,0.50178,1.45107,0.90643,0.97456,0.95537,0.48501,2.15367,0.44789,1.4365,0.000288321,0.000288321,0.000288321
40,2094.98,2.10266,0.48529,1.46226,0.90774,0.9726,0.95706,0.50211,2.10454,0.43034,1.41793,0.000247192,0.000247192,0.000247192
41,2173.92,2.05744,0.44736,1.52015,0.90101,0.9589,0.94451,0.48841,2.16259,0.43761,1.43656,0.000209073,0.000209073,0.000209073
42,2222.83,2.03167,0.44541,1.51348,0.91102,0.96477,0.96113,0.50368,2.11063,0.42956,1.42037,0.000174115,0.000174115,0.000174115
43,2273.95,2.02674,0.44515,1.49609,0.91562,0.96673,0.95988,0.5192,2.06537,0.41922,1.40582,0.000142456,0.000142456,0.000142456
44,2328.53,2.0125,0.43884,1.50385,0.91864,0.9722,0.96249,0.52546,2.04125,0.41631,1.39666,0.000114221,0.000114221,0.000114221
45,2382.71,2.0198,0.43192,1.49886,0.90888,0.9726,0.9603,0.51938,2.05027,0.41262,1.40345,8.95213e-05,8.95213e-05,8.95213e-05
46,2437.14,2.00221,0.42996,1.49069,0.91969,0.96368,0.95887,0.51938,2.06506,0.41234,1.40858,6.8454e-05,6.8454e-05,6.8454e-05
47,2491.85,2.03004,0.43284,1.5041,0.91821,0.96282,0.9621,0.52471,2.05277,0.4154,1.40288,5.11027e-05,5.11027e-05,5.11027e-05
48,2546,2.00632,0.42303,1.50259,0.90366,0.97282,0.95609,0.5238,2.05315,0.41337,1.40266,3.75356e-05,3.75356e-05,3.75356e-05
49,2599.27,2.00422,0.42924,1.49708,0.90719,0.96673,0.95505,0.51994,2.06814,0.41406,1.40845,2.78064e-05,2.78064e-05,2.78064e-05
50,2652.74,1.98866,0.42231,1.5075,0.90828,0.96673,0.96094,0.51782,2.06553,0.41492,1.40697,2.19535e-05,2.19535e-05,2.19535e-05
1,48.3266,2.41816,3.74496,1.54113,0.81002,0.80938,0.86146,0.37457,2.15657,1.34897,1.42182,0.00066369,0.00066369,0.00066369
2,94.2257,2.28194,1.07517,1.4618,0.77188,0.86497,0.85562,0.35175,2.17323,1.16328,1.42982,0.00132978,0.00132978,0.00132978
3,140.081,2.26177,0.99236,1.43934,0.78393,0.89237,0.8676,0.40487,1.99983,0.95112,1.34078,0.00199356,0.00199356,0.00199356
4,185.943,2.23661,0.96735,1.45158,0.37385,0.89824,0.36835,0.16431,2.11995,1.09262,1.36716,0.00199219,0.00199219,0.00199219
5,231.923,2.21261,0.93498,1.41877,0.44354,0.87867,0.43566,0.19181,2.1562,1.72652,1.402,0.00198614,0.00198614,0.00198614
6,277.97,2.16444,0.88255,1.39525,0.46239,0.8865,0.4579,0.2109,2.02352,1.18831,1.34583,0.00197837,0.00197837,0.00197837
7,324.589,2.21254,0.89026,1.41263,0.82994,0.92564,0.8917,0.40164,2.08135,0.75372,1.37171,0.0019689,0.0019689,0.0019689
8,371.087,2.12464,0.87855,1.40231,0.84881,0.93738,0.90712,0.45634,1.9775,0.71707,1.32673,0.00195775,0.00195775,0.00195775
9,417.796,2.11731,0.82779,1.37237,0.87751,0.90411,0.92155,0.43723,2.03617,0.70712,1.33296,0.00194493,0.00194493,0.00194493
10,464.732,2.12224,0.8301,1.37921,0.84871,0.95507,0.90275,0.41084,2.01799,0.76377,1.34104,0.00193048,0.00193048,0.00193048
11,511.491,2.12043,0.79266,1.36432,0.86813,0.93933,0.90291,0.43698,1.97256,0.71554,1.31936,0.00191441,0.00191441,0.00191441
12,558.559,2.0555,0.78132,1.35183,0.86604,0.92354,0.89762,0.40064,2.11234,0.71278,1.36177,0.00189675,0.00189675,0.00189675
13,605.706,2.08522,0.79136,1.36563,0.849,0.9589,0.89799,0.42109,1.98452,0.70381,1.31176,0.00187754,0.00187754,0.00187754
14,677.528,2.08127,0.76883,1.36165,0.84592,0.94521,0.92618,0.45057,1.95796,0.71146,1.30959,0.00185681,0.00185681,0.00185681
15,726.754,2.0348,0.75453,1.33412,0.85394,0.95303,0.92499,0.44393,1.98125,0.67354,1.30481,0.00183459,0.00183459,0.00183459
16,773.613,2.0642,0.76551,1.35528,0.85214,0.9589,0.91285,0.4369,1.91432,0.6972,1.29567,0.00181093,0.00181093,0.00181093
17,820.57,2.07817,0.75051,1.35379,0.88645,0.97456,0.94609,0.46664,1.92936,0.70212,1.29521,0.00178586,0.00178586,0.00178586
18,867.655,2.03824,0.766,1.34548,0.86124,0.95957,0.93336,0.45281,1.93505,0.68289,1.30536,0.00175943,0.00175943,0.00175943
19,914.612,1.98899,0.73103,1.33029,0.8863,0.97632,0.95241,0.46586,1.97397,0.67082,1.30465,0.00173168,0.00173168,0.00173168
20,961.544,2.01054,0.72704,1.33243,0.82845,0.94912,0.84742,0.38435,2.12435,0.68854,1.36497,0.00170267,0.00170267,0.00170267
21,1008.55,2.04419,0.72805,1.33134,0.89888,0.96477,0.9497,0.46148,1.98081,0.68358,1.30847,0.00167244,0.00167244,0.00167244
22,1055.89,1.99334,0.72562,1.32731,0.89166,0.97456,0.93207,0.46493,1.94669,0.66099,1.29683,0.00164105,0.00164105,0.00164105
